Adapt_PCName,Adapt_Account,Adapt_IP,Adapt_Facility,Adapt_System,Adapt_DHCP
F-100140004,CMA,10.13.48.114,CMA,SCT,No
F000153572,GTF,10.19.32.84,GTF,GTF,No
F001305957,LAS,10.117.152.47,LAS,L30,No
F100114927,TOA,10.12.118.100,TOA,SCT,No
F100122265,S46,10.18.40.190,S46,S46,No
F100122389,MWH,10.18.72.73,MWH,MWH,Ineligible
F100122572,PCT,10.131.220.74,PCT,PCT,No
F100135915,CNO,10.12.114.122,CNO,SCT,No
F100135974,SGF,10.82.34.75,SGF,SGF,No
F100135991,DAL,10.40.200.69,DAL,D10,No
F100136002,STL,10.82.110.70,STL,T75,No
F100136011,LAF,10.35.98.30,LAF,HUF,No
F100136036,SGF,10.82.34.78,SGF,SGF,No
F100136040,ORL,10.110.78.46,ORL,F11,No
F100136076,CLE,10.32.181.92,CLE-R,CLE,No
F100136116,RST,10.35.58.59,RST,RST,Yes
F100136146,CHS Tower,10.110.22.81,CHS,CHS,No
F100136176,F11,10.110.74.135,F11,F11,No
F100136224,PBI,10.111.206.84,PBI,PBI,No
F100140055,SEE,10.12.110.106,SEE,SCT,No
F100140069,HUF,10.35.176.53,HUF,HUF,Yes
F100140080,CMI Tower,10.35.78.54,CMI,CMI,Yes
F100140095,TPA,10.110.54.83,TPA,TPA,No
F100140132,AVL TRACON,10.109.160.54,AVL,AVL,Yes
F100140146,ALB TRACON,172.22.39.107,ALB,ALB,No
F100140156,SDL,10.12.108.123,SDL,P50,No
F100140158,SDF,10.109.104.74,SDF,SDF,No
F100140181,CAE,10.104.240.221,CAE,CAE,No
F100140195,ROC,10.131.40.48,ROC,ROC,No
F100140250,BNA,10.110.234.109,BNA,BNA,Yes
F100140291,HLN,10.20.24.55,HLN,HLN,Yes
F100140318,CLE,10.32.181.87,CLE-R,CLE,No
F100140373,PDK,10.110.80.143,PDK,A80,No
F100143760,A90,172.22.63.115,A90,A90,No
F100144525,D21,10.38.77.124,D21,D21,No
F100144537,FSM,10.44.40.88,FSM,FSM,No
F100144546,BHM,10.109.144.57,BHM,BHM,No
F100144634,BOS,172.22.33.126,BOS,A90,No
F100144645,SBA,10.12.32.104,SBA,SBA,No
F100144646,TYS TRACON,10.110.56.219,TYS,TYS,Yes
F100144656,ISP,10.131.182.58,ISP,N90,No
F100148231,FAY,10.110.236.58,FAY,FAY,Yes
F100148258,GPT,10.111.198.66,GPT,GPT,No
F100148337,ACK,172.22.54.55,ACK,A90,No
F100148516,PCT,10.131.220.65,PCT,PCT,No
F100148519,FWA,10.35.118.45,FWA,FWA,Yes
F100148534,AZO,10.38.201.79,AZO,AZO,No
F100148573,D21,10.38.77.71,D21,D21,No
F100148580,MAF TRACON,10.44.80.53,MAF,MAF,Yes
F100148585,MAF Tower,10.44.80.56,MAF,MAF,Yes
F100148587,HIO,10.16.200.111,HIO,P80,No
F100148597,CPR,10.17.48.65,CPR,CPR,Yes
F100148599,LOU,10.109.200.220,LOU,SDF,No
F100148658,L30,10.11.138.188,L30,L30,No
F100148680,ICT Tower,10.80.168.49,ICT,ICT,No
F100148725,FNT,10.35.42.92,FNT,AZO,No
F100148754,RDG,10.131.38.49,RDG,RDG,Ineligible
